Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1612003897027,30/01/2021 10:51:37,1612003895190,0,30/01/2021 10:51:35,39476,1,questionnaire-2kxl,,9522992,unxrc6pj,2902933,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.104,1920x1080,1920x969,,,,Generic consent form,1,No,BEGIN QUESTIONNAIRE,
2,1612003899417,30/01/2021 10:51:39,1612003897774,0,30/01/2021 10:51:37,39476,1,questionnaire-2kxl,,9522992,unxrc6pj,2902933,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.104,1920x1080,1920x969,,,,Generic consent form,1,No,ConsentFlag,1
3,1612003899605,30/01/2021 10:51:39,1612003897776,0,30/01/2021 10:51:37,39476,1,questionnaire-2kxl,,9522992,unxrc6pj,2902933,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.104,1920x1080,1920x969,,,,Generic consent form,1,No,END QUESTIONNAIRE,2586
1,1612201592312,01/02/2021 17:46:32,1612201592163,0,01/02/2021 17:46:32,39476,1,questionnaire-2kxl,,9605565,n98imo4y,2921282,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.104,1920x1080,1827x977,,,,Generic consent form,1,No,BEGIN QUESTIONNAIRE,
2,1612201595075,01/02/2021 17:46:35,1612201594984,0,01/02/2021 17:46:34,39476,1,questionnaire-2kxl,,9605565,n98imo4y,2921282,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.104,1920x1080,1827x977,,,,Generic consent form,1,No,ConsentFlag,1
3,1612201595137,01/02/2021 17:46:35,1612201594986,0,01/02/2021 17:46:34,39476,1,questionnaire-2kxl,,9605565,n98imo4y,2921282,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.104,1920x1080,1827x977,,,,Generic consent form,1,No,END QUESTIONNAIRE,2823
1,1620091956227,04/05/2021 01:32:36,1620091956103,-4,03/05/2021 21:32:36,39476,1,questionnaire-2kxl,,12374162,d7433van,3735601,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1,1440x900,1430x736,,,,Generic consent form,1,No,BEGIN QUESTIONNAIRE,
2,1620091965338,04/05/2021 01:32:45,1620091965302,-4,03/05/2021 21:32:45,39476,1,questionnaire-2kxl,,12374162,d7433van,3735601,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1,1440x900,1430x736,,,,Generic consent form,1,No,ConsentFlag,1
3,1620091965494,04/05/2021 01:32:45,1620091965304,-4,03/05/2021 21:32:45,39476,1,questionnaire-2kxl,,12374162,d7433van,3735601,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1,1440x900,1430x736,,,,Generic consent form,1,No,END QUESTIONNAIRE,9201
1,1611752612829,27/01/2021 13:03:32,1611752612675,0,27/01/2021 13:03:32,39476,1,questionnaire-2kxl,,9432253,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x602,,,,Generic consent form,1,No,BEGIN QUESTIONNAIRE,
2,1611752624061,27/01/2021 13:03:44,1611752623909,0,27/01/2021 13:03:43,39476,1,questionnaire-2kxl,,9432253,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,Generic consent form,1,No,ConsentFlag,1
3,1611752624918,27/01/2021 13:03:44,1611752623911,0,27/01/2021 13:03:43,39476,1,questionnaire-2kxl,,9432253,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,Generic consent form,1,No,END QUESTIONNAIRE,11236
1,1611771238452,27/01/2021 18:13:58,1611771238709,0,27/01/2021 18:13:58,39476,1,questionnaire-2kxl,,9448063,lztwaao9,2878349,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.53,1366x768,1366x657,,,,Generic consent form,1,No,BEGIN QUESTIONNAIRE,
2,1611771246989,27/01/2021 18:14:06,1611771247231,0,27/01/2021 18:14:07,39476,1,questionnaire-2kxl,,9448063,lztwaao9,2878349,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.53,1366x768,1366x657,,,,Generic consent form,1,No,ConsentFlag,1
3,1611771247083,27/01/2021 18:14:07,1611771247235,0,27/01/2021 18:14:07,39476,1,questionnaire-2kxl,,9448063,lztwaao9,2878349,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 88.0.705.53,1366x768,1366x657,,,,Generic consent form,1,No,END QUESTIONNAIRE,8526
1,1611850073869,28/01/2021 16:07:53,1611850073317,2,28/01/2021 18:07:53,39476,1,questionnaire-2kxl,,9476546,fxbvp3gu,2887782,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.104,1920x1080,1920x937,,,,Generic consent form,1,No,BEGIN QUESTIONNAIRE,
2,1611850079898,28/01/2021 16:07:59,1611850079386,2,28/01/2021 18:07:59,39476,1,questionnaire-2kxl,,9476546,fxbvp3gu,2887782,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.104,1920x1080,1920x937,,,,Generic consent form,1,No,ConsentFlag,1
3,1611850080068,28/01/2021 16:08:00,1611850079387,2,28/01/2021 18:07:59,39476,1,questionnaire-2kxl,,9476546,fxbvp3gu,2887782,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.104,1920x1080,1920x937,,,,Generic consent form,1,No,END QUESTIONNAIRE,6070
1,1612031614552,30/01/2021 18:33:34,1612031614430,0,30/01/2021 18:33:34,39476,1,questionnaire-2kxl,,9540568,b7sdn7bx,2906179,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.96,1440x900,1440x700,,,,Generic consent form,1,No,BEGIN QUESTIONNAIRE,
2,1612031624433,30/01/2021 18:33:44,1612031624348,0,30/01/2021 18:33:44,39476,1,questionnaire-2kxl,,9540568,b7sdn7bx,2906179,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 88.0.4324.96,1440x900,1440x700,,,,Generic consent form,1,No,ConsentFlag,1
