Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1620091967312,04/05/2021 01:32:47,1620091967226,-4,03/05/2021 21:32:47,39476,1,questionnaire-7wj6,,12374163,d7433van,3735601,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1,1440x900,1430x736,,,,basic demographics,2,No,BEGIN QUESTIONNAIRE,
2,1620091977243,04/05/2021 01:32:57,1620091977169,-4,03/05/2021 21:32:57,39476,1,questionnaire-7wj6,,12374163,d7433van,3735601,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1,1440x900,1430x736,,,,basic demographics,2,No,Sex,Male
3,1620091977399,04/05/2021 01:32:57,1620091977171,-4,03/05/2021 21:32:57,39476,1,questionnaire-7wj6,,12374163,d7433van,3735601,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1,1440x900,1430x736,,,,basic demographics,2,No,Sex-quantised,2
4,1620091977399,04/05/2021 01:32:57,1620091977171,-4,03/05/2021 21:32:57,39476,1,questionnaire-7wj6,,12374163,d7433van,3735601,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1,1440x900,1430x736,,,,basic demographics,2,No,age,58
5,1620091977399,04/05/2021 01:32:57,1620091977171,-4,03/05/2021 21:32:57,39476,1,questionnaire-7wj6,,12374163,d7433van,3735601,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1,1440x900,1430x736,,,,basic demographics,2,No,END QUESTIONNAIRE,9945
1,1611752633053,27/01/2021 13:03:53,1611752632884,0,27/01/2021 13:03:52,39476,1,questionnaire-7wj6,,9432262,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,basic demographics,2,No,BEGIN QUESTIONNAIRE,
2,1611752762525,27/01/2021 13:06:02,1611752762391,0,27/01/2021 13:06:02,39476,1,questionnaire-7wj6,,9432262,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,basic demographics,2,No,Sex,Male
3,1611752762605,27/01/2021 13:06:02,1611752762393,0,27/01/2021 13:06:02,39476,1,questionnaire-7wj6,,9432262,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,basic demographics,2,No,Sex-quantised,2
4,1611752762605,27/01/2021 13:06:02,1611752762393,0,27/01/2021 13:06:02,39476,1,questionnaire-7wj6,,9432262,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,basic demographics,2,No,age,51
5,1611752762605,27/01/2021 13:06:02,1611752762393,0,27/01/2021 13:06:02,39476,1,questionnaire-7wj6,,9432262,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,basic demographics,2,No,END QUESTIONNAIRE,129509
