Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,display,randomise_trials,ImageLeft,ImageRight,ImageCentre,TextLeft,TextRight,TextCentre,Answer,OrLeft,OrRight,TextLeft1,TextRight1,TextRight2,TextLeft2,,metadata,metadata.1
1,1611752769705,27/01/2021 13:06:09,1611752769531,0,27/01/2021 13:06:09,39476,1,task-3fjs,,9432363,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,IAT_sex_topics,3,Spreadsheet1,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1611752778795,27/01/2021 13:06:18,1611752778429,0,27/01/2021 13:06:18,39476,1,task-3fjs,,9432363,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,IAT_sex_topics,3,Spreadsheet1,1,1,Screen 1,button,continue_button,8866.99999999837,,,0,1,0,,,,Spreadsheet1,,task description,,,,,,,,,,,,,,,1,,
3,1611752794964,27/01/2021 13:06:34,1611752794824,0,27/01/2021 13:06:34,39476,1,task-3fjs,,9432363,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,IAT_sex_topics,3,Spreadsheet1,1,1,Screen 1,button,continue_keyboard,16378.164999972796,,,0,1,0,,,,Spreadsheet1,,instructions,,,,,,,,,,,,,,,2,,
4,1611752802275,27/01/2021 13:06:42,1611752802138,0,27/01/2021 13:06:42,39476,1,task-3fjs,,9432363,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,IAT_sex_topics,3,Spreadsheet1,1,1,Screen 1,Zone9,continue_keyboard,7291.584999999031,,,0,1,0,,,,Spreadsheet1,,prepare1,,,,,,,,,,,female,male,,,3,practice_words,practice_words
5,1611752803592,27/01/2021 13:06:43,1611752803227,0,27/01/2021 13:06:43,39476,1,task-3fjs,,9432363,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,IAT_sex_topics,3,Spreadsheet1,1,1,Screen 1,Zone9,response_keyboard,1059.960000013234,right,1,1,0,0,,,,Spreadsheet1,,trials,1,,,,,,Jeffrey,right,,,female,male,,,14,practice_words,practice_words
6,1611752804041,27/01/2021 13:06:44,1611752803913,0,27/01/2021 13:06:43,39476,1,task-3fjs,,9432363,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,IAT_sex_topics,3,Spreadsheet1,1,2,Screen 2,fixation,fixation,699.9720000000016,,,0,1,0,,,,Spreadsheet1,,trials,1,,,,,,Jeffrey,right,,,female,male,,,14,practice_words,practice_words
7,1611752807075,27/01/2021 13:06:47,1611752804623,0,27/01/2021 13:06:44,39476,1,task-3fjs,,9432363,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,IAT_sex_topics,3,Spreadsheet1,2,1,Screen 1,Zone9,response_keyboard,684.3749999825377,right,1,1,0,0,,,,Spreadsheet1,,trials,1,,,,,,Paul,right,,,female,male,,,13,practice_words,practice_words
8,1611752807292,27/01/2021 13:06:47,1611752805313,0,27/01/2021 13:06:45,39476,1,task-3fjs,,9432363,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,IAT_sex_topics,3,Spreadsheet1,2,2,Screen 2,fixation,fixation,699.9720000000016,,,0,1,0,,,,Spreadsheet1,,trials,1,,,,,,Paul,right,,,female,male,,,13,practice_words,practice_words
9,1611752807292,27/01/2021 13:06:47,1611752806000,0,27/01/2021 13:06:46,39476,1,task-3fjs,,9432363,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,IAT_sex_topics,3,Spreadsheet1,3,1,Screen 1,Zone9,response_keyboard,664.1649999946821,left,1,1,0,0,,,,Spreadsheet1,,trials,1,,,,,,Julia,left,,,female,male,,,4,practice_words,practice_words
10,1611752807292,27/01/2021 13:06:47,1611752806697,0,27/01/2021 13:06:46,39476,1,task-3fjs,,9432363,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,IAT_sex_topics,3,Spreadsheet1,3,2,Screen 2,fixation,fixation,699.9720000000016,,,0,1,0,,,,Spreadsheet1,,trials,1,,,,,,Julia,left,,,female,male,,,4,practice_words,practice_words
11,1611752807425,27/01/2021 13:06:47,1611752807287,0,27/01/2021 13:06:47,39476,1,task-3fjs,,9432363,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,IAT_sex_topics,3,Spreadsheet1,4,1,Screen 1,Zone9,response_keyboard,565.4999999969732,right,1,1,0,0,,,,Spreadsheet1,,trials,1,,,,,,John,right,,,female,male,,,11,practice_words,practice_words
12,1611752809044,27/01/2021 13:06:49,1611752807980,0,27/01/2021 13:06:47,39476,1,task-3fjs,,9432363,0dxt32ut,2874231,,complete,,,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 88.0.4324.96,1440x900,1434x638,,,,IAT_sex_topics,3,Spreadsheet1,4,2,Screen 2,fixation,fixation,699.9719999999943,,,0,1,0,,,,Spreadsheet1,,trials,1,,,,,,John,right,,,female,male,,,11,practice_words,practice_words
