Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-7bvc,Randomise questionnaire elements?,age,english,english-text,english-quantised,nationality,nationality-text,nationality-quantised,sex,sex-text,sex-quantised,ethnic,ethnic-text,ethnic-quantised,income,income-text,income-quantised,class,class-text,class-quantised,edu,edu-text,edu-quantised,employ,employ-text,employ-quantised,END QUESTIONNAIRE
1,1626430329965,16/07/2021 10:12:09,1626430327575,1,16/07/2021 11:12:07,57003,8,questionnaire-4c1e,,14375786,60e17285710e514fb3f05e27,4279865,,complete,,60f15aad340b0b0c3205ded2,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1536x864,1536x754,,,,Exp 2_group and demographics,4,booked,No,18,No,,2,Greek,,85,Male,,2,Other White Background,,2,£25 001 – £35 000,,3,Working,,1,Degree/ Equivalent,,4,Part-time,,2,33420
1,1626431151819,16/07/2021 10:25:51,1626431151714,1,16/07/2021 11:25:51,57003,8,questionnaire-4c1e,,14376285,5bfd60253e353c0001995eeb,4279950,,complete,,60f15d3dfb06d1105102e0f1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,,,Exp 2_group and demographics,4,booked,No,25,Yes,,1,English,,69,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,> £100 000,,10,Upper-middle,,4,Postgraduate degree/ Equivalent,,5,Student,,4,50750
1,1626522841229,17/07/2021 11:54:01,1626522841020,1,17/07/2021 12:54:01,57003,8,questionnaire-4c1e,,14408151,60d43ad8eb9caca8d6f70b28,4286535,,complete,,60f2c41e192c6e8eccc53f8b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,2560x1440,2560x1218,,,,Exp 2_group and demographics,4,booked,No,28,Yes,,1,Scottish,,177,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,£55 001 - £65 000,,6,Lower-middle,,2,Higher education,,3,Student,,4,38446
1,1626522818023,17/07/2021 11:53:38,1626522818042,1,17/07/2021 12:53:38,57003,8,questionnaire-4c1e,,14408138,5d2202ffa80a600017d967b5,4286526,,complete,,60f2c3fbe8fa7c36ef22755a,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x609,,,,Exp 2_group and demographics,4,booked,No,20,Yes,,1,British,,26,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,£15 001 - £25 000,,2,Middle,,3,Degree/ Equivalent,,4,Full-time,,1,40593
1,1626522763658,17/07/2021 11:52:43,1626522769903,1,17/07/2021 12:52:49,57003,8,questionnaire-4c1e,,14408107,6035582ef5c002ac22650d7a,4286520,,complete,,60f2c3304cccae86f69d1555,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x625,,,,Exp 2_group and demographics,4,booked,No,40,Yes,,1,English,,69,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,£15 001 - £25 000,,2,Working,,1,Higher education,,3,Full-time,,1,46810
1,1626522732960,17/07/2021 11:52:12,1626522732882,1,17/07/2021 12:52:12,57003,8,questionnaire-4c1e,,14408095,5f44222d9d971773c4707857,4286503,,complete,,60f2c31ea3cc6213338fa5ed,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.164,2560x1440,2560x1360,,,,Exp 2_group and demographics,4,booked,No,37,Yes,,1,British,,26,Female,,1,Black/African/Caribbean/Black British,,5,<£15 000,,1,Working,,1,Degree/ Equivalent,,4,Unemployed,,5,61276
1,1626522623069,17/07/2021 11:50:23,1626522622915,1,17/07/2021 12:50:22,57003,8,questionnaire-4c1e,,14408030,60aa875f74e8e15275bc2f64,4286496,,complete,,60f2c2daec214160268d1a1b,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 91.0.4472.164,1440x900,1058x722,,,,Exp 2_group and demographics,4,booked,No,32,No,,2,Turkish,,209,Female,,1,Other White Background,,2,<£15 000,,1,Lower-middle,,2,Degree/ Equivalent,,4,Student,,4,49125
1,1626522543014,17/07/2021 11:49:03,1626522543933,1,17/07/2021 12:49:03,57003,8,questionnaire-4c1e,,14407992,60ba73f7cc25838e2ba16d69,4286495,,complete,,60f2c2e540b97eb14f7b609f,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1858x977,,,,Exp 2_group and demographics,4,booked,No,24,No,,2,Hungarian,,95,Female,,1,Other White Background,,2,£15 001 - £25 000,,2,Working,,1,Postgraduate degree/ Equivalent,,5,Part-time,,2,66657
1,1626522155940,17/07/2021 11:42:35,1626522155803,1,17/07/2021 12:42:35,57003,8,questionnaire-4c1e,,14407814,5eb3cef4444b2f1be1ed2e00,4286463,,complete,,60f2c1265318f91af22b33ca,computer,Desktop or Laptop,Linux x86_64,Chrome 91.0.4472.120,393x873,980x1708,,,,Exp 2_group and demographics,4,booked,No,21,Yes,,1,English,,69,Female,,1,Asian/ Asian British,,4,£15 001 - £25 000,,2,Middle,,3,A-Levels/ Equivalent,,2,Unemployed,,5,47885
1,1626522003177,17/07/2021 11:40:03,1626522003074,1,17/07/2021 12:40:03,57003,8,questionnaire-4c1e,,14407736,6074c0ce19889ca4efd4448e,4286439,,complete,,60f2c003591e8022a6a18c41,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,,,Exp 2_group and demographics,4,booked,No,29,No,,2,Pakistani,,156,Female,,1,Asian/ Asian British,,4,<£15 000,,1,Working,,1,A-Levels/ Equivalent,,2,Unemployed,,5,70545
1,1626521848195,17/07/2021 11:37:28,1626521846442,1,17/07/2021 12:37:26,57003,8,questionnaire-4c1e,,14407661,603fc865348c010fc9b01cd7,4286442,,complete,,60f2c031654e52d9e839b028,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1536x864,1536x722,,,,Exp 2_group and demographics,4,booked,No,21,Yes,,1,British,,26,Female,,1,Asian/ Asian British,,4,£35 001 - £45 000,,4,Lower-middle,,2,Degree/ Equivalent,,4,Full-time,,1,20554
