Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1.6255E+12,05/07/2021 14:53,1.6255E+12,1,05/07/2021 15:53,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1920x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,BEGIN QUESTIONNAIRE,
2,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No, EC_1,2
3,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No, EC_1-quantised,2
4,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_1,4
5,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_1-quantised,4
6,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_2,2
7,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_2-quantised,2
8,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_2,2
9,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_2-quantised,2
10,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_3,4
