Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-g1a6,randomiser-62yd,Randomise questionnaire elements?,Question Key,Response
1,1636927321852,14/11/2021 22:02:01,1636927321746,0,14/11/2021 22:02:01,68854,2,questionnaire-2kxl,,17150854,BLIND,5065192,,complete,,,tablet,Apple iPad,iOS 15.0,Chrome 95.0.4638.50,810x1080,810x965,,Generic consent form,1,society,,No,BEGIN QUESTIONNAIRE,
2,1636927323839,14/11/2021 22:02:03,1636927323783,0,14/11/2021 22:02:03,68854,2,questionnaire-2kxl,,17150854,BLIND,5065192,,complete,,,tablet,Apple iPad,iOS 15.0,Chrome 95.0.4638.50,810x1080,810x965,,Generic consent form,1,society,,No,ConsentFlag,1
3,1636927323889,14/11/2021 22:02:03,1636927323786,0,14/11/2021 22:02:03,68854,2,questionnaire-2kxl,,17150854,BLIND,5065192,,complete,,,tablet,Apple iPad,iOS 15.0,Chrome 95.0.4638.50,810x1080,810x965,,Generic consent form,1,society,,No,END QUESTIONNAIRE,2041
1,1636999388676,15/11/2021 18:03:08,1636999389424,0,15/11/2021 18:03:09,68854,2,questionnaire-2kxl,,17174104,BLIND,5072298,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1536x754,,Generic consent form,1,personality,,No,BEGIN QUESTIONNAIRE,
2,1636999391892,15/11/2021 18:03:11,1636999392689,0,15/11/2021 18:03:12,68854,2,questionnaire-2kxl,,17174104,BLIND,5072298,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1536x754,,Generic consent form,1,personality,,No,ConsentFlag,1
3,1636999391972,15/11/2021 18:03:11,1636999392690,0,15/11/2021 18:03:12,68854,2,questionnaire-2kxl,,17174104,BLIND,5072298,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1536x754,,Generic consent form,1,personality,,No,END QUESTIONNAIRE,3266
1,1636988833612,15/11/2021 15:07:13,1636988832655,0,15/11/2021 15:07:12,68854,2,questionnaire-2kxl,,17165089,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,Generic consent form,1,society,,No,BEGIN QUESTIONNAIRE,
2,1636988836568,15/11/2021 15:07:16,1636988835633,0,15/11/2021 15:07:15,68854,2,questionnaire-2kxl,,17165089,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,Generic consent form,1,society,,No,ConsentFlag,1
3,1636988836699,15/11/2021 15:07:16,1636988835634,0,15/11/2021 15:07:15,68854,2,questionnaire-2kxl,,17165089,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,Generic consent form,1,society,,No,END QUESTIONNAIRE,2979
1,1636981019814,15/11/2021 12:56:59,1636981019439,-5,15/11/2021 07:56:59,68854,2,questionnaire-2kxl,,17161727,BLIND,5068310,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,2560x1440,2327x1208,,Generic consent form,1,personality,,No,BEGIN QUESTIONNAIRE,
