Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-g1a6,randomiser-62yd,Randomise questionnaire elements?,Question Key,Response
1,1667816153255,07/11/2022 10:15:53,1667816153180,0,07/11/2022 10:15:53,68854,2,questionnaire-q4mb,,25061422,BLIND,7402002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x722,,Att_personality,1,personality,,No,BEGIN QUESTIONNAIRE,
2,1667816211054,07/11/2022 10:16:51,1667816211060,0,07/11/2022 10:16:51,68854,2,questionnaire-q4mb,,25061422,BLIND,7402002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1519x722,,Att_personality,1,personality,,No,response-2,36
3,1667816211126,07/11/2022 10:16:51,1667816211061,0,07/11/2022 10:16:51,68854,2,questionnaire-q4mb,,25061422,BLIND,7402002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1519x722,,Att_personality,1,personality,,No,END QUESTIONNAIRE,57881
1,1667908334268,08/11/2022 11:52:14,1667908334496,0,08/11/2022 11:52:14,68854,2,questionnaire-q4mb,,25100894,BLIND,7412226,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x625,,Att_personality,1,personality,,No,BEGIN QUESTIONNAIRE,
2,1667908408318,08/11/2022 11:53:28,1667908408539,0,08/11/2022 11:53:28,68854,2,questionnaire-q4mb,,25100894,BLIND,7412226,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x625,,Att_personality,1,personality,,No,response-2,100
3,1667908408427,08/11/2022 11:53:28,1667908408546,0,08/11/2022 11:53:28,68854,2,questionnaire-q4mb,,25100894,BLIND,7412226,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x625,,Att_personality,1,personality,,No,END QUESTIONNAIRE,74051
1,1636999720736,15/11/2021 18:08:40,1636999721469,0,15/11/2021 18:08:41,68854,2,questionnaire-q4mb,,17174401,BLIND,5072298,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1536x754,,Att_personality,1,personality,,No,BEGIN QUESTIONNAIRE,
2,1636999758681,15/11/2021 18:09:18,1636999759456,0,15/11/2021 18:09:19,68854,2,questionnaire-q4mb,,17174401,BLIND,5072298,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1519x754,,Att_personality,1,personality,,No,response-2,50
3,1636999758770,15/11/2021 18:09:18,1636999759456,0,15/11/2021 18:09:19,68854,2,questionnaire-q4mb,,17174401,BLIND,5072298,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1519x754,,Att_personality,1,personality,,No,END QUESTIONNAIRE,37987
1,1636981240331,15/11/2021 13:00:40,1636981240007,-5,15/11/2021 08:00:40,68854,2,questionnaire-q4mb,,17161819,BLIND,5068310,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,2560x1440,2327x1208,,Att_personality,1,personality,,No,BEGIN QUESTIONNAIRE,
2,1636981335576,15/11/2021 13:02:15,1636981335327,-5,15/11/2021 08:02:15,68854,2,questionnaire-q4mb,,17161819,BLIND,5068310,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,2560x1440,2327x1208,,Att_personality,1,personality,,No,response-2,81
3,1636981335896,15/11/2021 13:02:15,1636981335328,-5,15/11/2021 08:02:15,68854,2,questionnaire-q4mb,,17161819,BLIND,5068310,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,2560x1440,2327x1208,,Att_personality,1,personality,,No,END QUESTIONNAIRE,95321
1,1636859059136,14/11/2021 03:04:19,1636859058945,11,14/11/2021 14:04:18,68854,2,questionnaire-q4mb,,17138296,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,Att_personality,1,personality,,No,BEGIN QUESTIONNAIRE,
2,1636859132273,14/11/2021 03:05:32,1636859132106,11,14/11/2021 14:05:32,68854,2,questionnaire-q4mb,,17138296,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,Att_personality,1,personality,,No,response-2,50
3,1636859132587,14/11/2021 03:05:32,1636859132110,11,14/11/2021 14:05:32,68854,2,questionnaire-q4mb,,17138296,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,Att_personality,1,personality,,No,END QUESTIONNAIRE,73166
END OF FILE
