Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-g1a6,randomiser-62yd,Spreadsheet,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,display,randomise_trials,ImageLeft,ImageRight,ImageCentre,TextLeft,TextRight,TextCentre,Answer,OrLeft,OrRight,TextLeft1,TextRight1,TextRight2,TextLeft2,,metadata,metadata.1
1,1636833915964,13/11/2021 20:05:15,1636833915907,0,13/11/2021 20:05:15,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1636833924680,13/11/2021 20:05:24,1636833924663,0,13/11/2021 20:05:24,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,1,1,Screen 1,button,continue_button,8680.29999999702,,,0,1,0,,,,Spreadsheet1,,task description,,,,,,,,,,,,,,,1,,
3,1636833940676,13/11/2021 20:05:40,1636833940650,0,13/11/2021 20:05:40,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,1,1,Screen 1,button,continue_keyboard,15962.09999999404,,,0,1,0,,,,Spreadsheet1,,instructions,,,,,,,,,,,,,,,2,,
4,1636833955569,13/11/2021 20:05:55,1636833955548,0,13/11/2021 20:05:55,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,1,1,Screen 1,Zone9,continue_keyboard,14845.10000000894,,,0,1,0,,,,Spreadsheet1,,prepare1,,,,,,,,,,,female,male,,,3,practice_words,practice_words
5,1636833956887,13/11/2021 20:05:56,1636833956883,0,13/11/2021 20:05:56,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,1,1,Screen 1,Zone9,response_keyboard,1301.2000000029802,right,1,1,0,0,,,,Spreadsheet1,,trials,1,,,,,,Paul,right,,,female,male,,,13,practice_words,practice_words
6,1636833957570,13/11/2021 20:05:57,1636833957569,0,13/11/2021 20:05:57,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,1,2,Screen 2,fixation,fixation,700.0329999999958,,,0,1,0,,,,Spreadsheet1,,trials,1,,,,,,Paul,right,,,female,male,,,13,practice_words,practice_words
7,1636833958507,13/11/2021 20:05:58,1636833958514,0,13/11/2021 20:05:58,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,2,1,Screen 1,Zone9,response_keyboard,901,left,1,1,0,0,,,,Spreadsheet1,,trials,1,,,,,,Emily,left,,,female,male,,,7,practice_words,practice_words
8,1636833959216,13/11/2021 20:05:59,1636833959202,0,13/11/2021 20:05:59,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,2,2,Screen 2,fixation,fixation,699.9830000000002,,,0,1,0,,,,Spreadsheet1,,trials,1,,,,,,Emily,left,,,female,male,,,7,practice_words,practice_words
9,1636833959889,13/11/2021 20:05:59,1636833959893,0,13/11/2021 20:05:59,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,3,1,Screen 1,Zone9,response_keyboard,633.5,right,1,1,0,0,,,,Spreadsheet1,,trials,1,,,,,,Jeffrey,right,,,female,male,,,14,practice_words,practice_words
10,1636833960580,13/11/2021 20:06:00,1636833960586,0,13/11/2021 20:06:00,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,3,2,Screen 2,fixation,fixation,700.0780000000013,,,0,1,0,,,,Spreadsheet1,,trials,1,,,,,,Jeffrey,right,,,female,male,,,14,practice_words,practice_words
11,1636833961223,13/11/2021 20:06:01,1636833961231,0,13/11/2021 20:06:01,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,4,1,Screen 1,Zone9,response_keyboard,590.8999999910593,right,1,1,0,0,,,,Spreadsheet1,,trials,1,,,,,,Daniel,right,,,female,male,,,12,practice_words,practice_words
12,1636833961930,13/11/2021 20:06:01,1636833961919,0,13/11/2021 20:06:01,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,4,2,Screen 2,fixation,fixation,699.9530000000013,,,0,1,0,,,,Spreadsheet1,,trials,1,,,,,,Daniel,right,,,female,male,,,12,practice_words,practice_words
13,1636833962694,13/11/2021 20:06:02,1636833962705,0,13/11/2021 20:06:02,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,5,1,Screen 1,Zone9,response_keyboard,732.8000000119209,left,1,1,0,0,,,,Spreadsheet1,,trials,1,,,,,,Anna,left,,,female,male,,,6,practice_words,practice_words
14,1636833963397,13/11/2021 20:06:03,1636833963402,0,13/11/2021 20:06:03,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,5,2,Screen 2,fixation,fixation,699.9960000000065,,,0,1,0,,,,Spreadsheet1,,trials,1,,,,,,Anna,left,,,female,male,,,6,practice_words,practice_words
15,1636833964053,13/11/2021 20:06:04,1636833964064,0,13/11/2021 20:06:04,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,6,1,Screen 1,Zone9,response_keyboard,612.5999999940395,left,1,1,0,0,,,,Spreadsheet1,,trials,1,,,,,,Michelle,left,,,female,male,,,5,practice_words,practice_words
16,1636833964754,13/11/2021 20:06:04,1636833964752,0,13/11/2021 20:06:04,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,6,2,Screen 2,fixation,fixation,700.0009999999966,,,0,1,0,,,,Spreadsheet1,,trials,1,,,,,,Michelle,left,,,female,male,,,5,practice_words,practice_words
17,1636833965319,13/11/2021 20:06:05,1636833965326,0,13/11/2021 20:06:05,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,7,1,Screen 1,Zone9,response_keyboard,526.3999999910593,left,1,1,0,0,,,,Spreadsheet1,,trials,1,,,,,,Julia,left,,,female,male,,,4,practice_words,practice_words
18,1636833966007,13/11/2021 20:06:06,1636833966018,0,13/11/2021 20:06:06,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,7,2,Screen 2,fixation,fixation,699.9629999999961,,,0,1,0,,,,Spreadsheet1,,trials,1,,,,,,Julia,left,,,female,male,,,4,practice_words,practice_words
19,1636833966598,13/11/2021 20:06:06,1636833966622,0,13/11/2021 20:06:06,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,8,1,Screen 1,Zone9,response_keyboard,572.2000000029802,right,1,1,0,0,,,,Spreadsheet1,,trials,1,,,,,,John,right,,,female,male,,,11,practice_words,practice_words
20,1636833967325,13/11/2021 20:06:07,1636833967321,0,13/11/2021 20:06:07,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,8,2,Screen 2,fixation,fixation,700.0339999999997,,,0,1,0,,,,Spreadsheet1,,trials,1,,,,,,John,right,,,female,male,,,11,practice_words,practice_words
21,1636833967898,13/11/2021 20:06:07,1636833967890,0,13/11/2021 20:06:07,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,9,1,Screen 1,Zone9,response_keyboard,513.1999999880791,left,1,1,0,0,,,,Spreadsheet1,,trials,1,,,,,,Rebecca,left,,,female,male,,,8,practice_words,practice_words
22,1636833968585,13/11/2021 20:06:08,1636833968588,0,13/11/2021 20:06:08,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,9,2,Screen 2,fixation,fixation,700.0119999999952,,,0,1,0,,,,Spreadsheet1,,trials,1,,,,,,Rebecca,left,,,female,male,,,8,practice_words,practice_words
23,1636833969128,13/11/2021 20:06:09,1636833969133,0,13/11/2021 20:06:09,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,10,1,Screen 1,Zone9,response_keyboard,489.1000000089407,right,1,1,0,0,,,,Spreadsheet1,,trials,1,,,,,,Ben,right,,,female,male,,,10,practice_words,practice_words
24,1636833969817,13/11/2021 20:06:09,1636833969822,0,13/11/2021 20:06:09,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,10,2,Screen 2,fixation,fixation,700.0199999999968,,,0,1,0,,,,Spreadsheet1,,trials,1,,,,,,Ben,right,,,female,male,,,10,practice_words,practice_words
25,1636833972689,13/11/2021 20:06:12,1636833972698,0,13/11/2021 20:06:12,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,2,1,Screen 1,Zone9,continue_keyboard,2807.5,,,0,1,0,,,,Spreadsheet1,1,prepare1,,,,,,,,,,,,,science,humanities,16,practice_congruent,practice_congruent
