Task.Name,Question.Key,sum,rev,scaleName,Subscore,qual
"Interpersonal Reactivity Index (Davies, 1983)", EC_1,1,6,ECPT,EC,0
"Interpersonal Reactivity Index (Davies, 1983)",PT_1,-1,6,ECPT,PT,0
"Interpersonal Reactivity Index (Davies, 1983)",EC_2,-1,6,ECPT,EC,0
"Interpersonal Reactivity Index (Davies, 1983)",PT_2,1,6,ECPT,PT,0
"Interpersonal Reactivity Index (Davies, 1983)",EC_3,1,6,ECPT,EC,0
"Interpersonal Reactivity Index (Davies, 1983)",PT_3,1,6,ECPT,PT,0
"Interpersonal Reactivity Index (Davies, 1983)",EC_4,-1,6,ECPT,EC,0
"Interpersonal Reactivity Index (Davies, 1983)",PT_4,-1,6,ECPT,PT,0
"Interpersonal Reactivity Index (Davies, 1983)",EC_5,-1,6,ECPT,EC,0
"Interpersonal Reactivity Index (Davies, 1983)",EC_6,1,6,ECPT,EC,0
"Interpersonal Reactivity Index (Davies, 1983)",PT_5,1,6,ECPT,PT,0
"Interpersonal Reactivity Index (Davies, 1983)",EC_7,1,6,ECPT,EC,0
"Interpersonal Reactivity Index (Davies, 1983)",PT_6,1,6,ECPT,PT,0
"Interpersonal Reactivity Index (Davies, 1983)",PT_7,1,6,ECPT,PT,0
